,คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเชียงใหม่,,,,,,,,,QF-FS-309-01  ,,,,,,,,,,,,
,,,บันทึกข้อความ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"ส่วนงาน....ศูนย์การศึกษาสหวิทยาการสาขา…คณะวิศวกรรมศาสตร์…มหาวิทยาลัยเชียงใหม่.................................
ที่ อว 8393(14).9(4) /.………................... วันที่ ....................................................……….….............................
เรื่อง…….ขอให้ดำเนินการจัดหา………………………………………………………......................…..……….....………………..…….
",,,,,,,,,,,,,,,,,,,,,
,"เรียน   คณบดี 
          ด้วย ศูนย์การศึกษาสหวิทยาการสาขา มีความจำเป็นที่จะต้องใช้วัสดุ โครงการ (ชื่อโครงการ)  ...........................
................................................................................................................................จำนวน…...…..รายการ 
เพื่อ (เหตุผลการใช้)     ใช้ในการเรียนการสอน   ใช้ในงานสำนักงาน   พัฒนาระบบสารสนเทศ ซอฟท์แวร์ 
และฐานข้อมูลอิเล็คทรอนิกส์    ประกอบสื่อการเรียนการสอน (โสตทัศนูปกรณ์)  อื่น ๆ…......………..………........……
โดยขอให้หน่วยพัสดุ ดำเนินการจัดหาและเบิกจ่ายจากเงิน   งบประมาณแผ่นดิน     เงินรายได้   ดังรายการต่อไปนี้
(โดยระบุรายการพัสดุ คุณลักษณะ ขนาด ปริมาณ ฯลฯ  ให้ละเอียดถูกต้องชัดเจน)  ",,,,,,,,,,,,,,,,,,,,,
ลำดับที่,รายการ,,,,,"จำนวน
(หน่วยนับ)",,"ราคา
โดยประมาณ",,หมายเหตุ,,,,,,,,,,,,
1,เหล็กแผ่นเพลท 100x122 ซม. หนา 8 มม. ,,,,,6,แผ่น,,,0,,,,,,,,,,,,
2,เทปตีเส้นพื้น PVC กว้าง 3 นิ้ว สี ขาว/แดง,,,,,5,ม้วน,245,,1225,,,,,,,,,,,,
3,เทปตีเส้นพื้น PVC กว้าง 3 นิ้ว สี เหลือง/ดำ,,,,,5,ม้วน,245,,1225,,,,,,,,,,,,
4,เทปตีเส้นพื้น PVC กว้าง 3 นิ้ว สี ขาว,,,,,5,ม้วน,195,,975,,,,,,,,,,,,
5,เทปตีเส้นพื้น PVC กว้าง 3 นิ้ว สี เหลือง,,,,,5,ม้วน,195,,975,,,,,,,,,,,,
6,เทปตีเส้นพื้น PVC กว้าง 3 นิ้ว สี แดง,,,,,5,ม้วน,195,,975,,,,,,,,,,,,
7,ทีโอเอ โพลียูรีเทนสูตรน้ำ ชนิดเงา (1K) ดิสเพอร์ชัน 100% (pure PUD) 1 แกลลอน/กระป๋อง,,,,,3,ประป๋อง,1150,,3450,,,,,,,,,,,,
8,สกรูเกลียวปล่อย หัว F เบอร์ 7 ยาว 2 1/2 นิ้ว,,,,,1,กล่อง,382,,382,,,9207,24708,33915,,,,,,,
,"พร้อมนี้ขอเสนอแต่งตั้ง ดังนี้
         	1. ผู้จัดทำร่างขอบเขตงาน คือ  	…………….……………….….…………………………
        	2. ผู้กำหนดราคากลาง คือ 	 	……………........……………….….…………………………
        	3. ผู้ตรวจรับพัสดุ คือ  		…………............…………………....….…………………………
(เสนอรายชื่อคณะกรรมการตรวจรับพัสดุ 3 ท่าน (ยกเว้น วงเงินรวมไม่เกิน 100,000.- บาท  เสนอ 1 ท่าน)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,(ลงชื่อ)…………………………….………………….ผู้ขอให้จัดหา,,,,,,,,,,,,,,,,,,
,,,,(นายธวัชชัย  ธรรมขันแก้ว),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,(ลงชื่อ)…………………………….………………….หัวหน้าหน่วยงาน,,,,,,,,,,,,,,,,,,
,,,,  (  ผศ.ดร.ภิญโญ พวงมะลิ  ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,หัวหน้าหน่วยงาน หมายถึง หัวหน้าหน่วยงานตามโครงสร้างการแบ่งส่วนงานวิชาการของคณะวิศวกรรมศาสตร์,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ลำดับที่,รายการ,,,,,"จำนวน
(หน่วยนับ)",,"ราคา
โดยประมาณ",,หมายเหตุ,,,,,,,,,,,,
9,ขาฉิ่งปรับระดับ ฐานไนล่อน M12 (C-CFJLM10-80),,,,,20,ตัว,63,,1260,,,,,,,,,,,,
10,เหล็กแผ่นดำ หน้า 3มม. ขนาด 15ซม.x190ซม.,,,,,13,แผ่น,,,0,,,,,,,,,,,,
11,เหล็กแผ่นดำ หน้า 3มม. ขนาด 19ซม.x190ซม.,,,,,1,แผ่น,,,0,,,,,,,,,,,,
12,สกรูปลายสว่าน หัวหกเหลี่ยม ชุบซิงค์รุ้ง H10 16x16,,,,,1,กล่อง 400ตัว,200,,200,,,,,,,,,,,,
13,สกรูปลายสว่าน หัวหกเหลี่ยม ชุบซิงค์รุ้ง H10 16x19,,,,,1,กล่อง 400ตัว,200,,200,,,,,,,,,,,,
14,สีน้ำมันTOA Glipton 2in1 สีขาว#GG100,,,,,2,แกลลอน,755,,1510,,,,,,,,,,,,
15,สีน้ำมันTOA Glipton 2in1 สี Pastel Grey #GG684,,,,,2,แกลลอน,780,,1560,,,,,,,,,,,,
16,สีน้ำมันTOA Glipton 2in1 สีดำ #GG800,,,,,2,แกลลอน,755,,1510,,,,,,,,,,,,
17,แปรงทาสีสั้นด้ามไม้ AT INDY รุ่นC305 ขนาด 2นิ้ว,,,,,12,อัน,43,,516,,,,,,,,,,,,
18,แปรงทาสีสั้นด้ามไม้ AT INDY รุ่นC305 ขนาด 2นิ้ว,,,,,12,อัน,58,,696,,,,,,,,,,,,
19,แปรงทาสีสั้นด้ามไม้ AT INDY รุ่นC305 ขนาด 3นิ้ว,,,,,12,อัน,98,,1176,,,,,,,,,,,,
20,น้ำยาขจัดคราบมัน Sunliht 3.2 ลิตร,,,,,3,ขวด,160,,480,,,,,,,,,,,,
21,ถุงมือผ้าทอสีเทาดำ ,,,,,10,โหล,70,,700,,,,,,,,,,,,
22,สเปรย์น้ำยาหล่อลื่น มีดกลึง WD40 ขนาด 400ML.      (ราคาต่อลัง/บรรจุ24กระป่องต่อลัง),,,,,1,ลัง ,2310,,2310,,,,,,,,,,,,
23,สายเคเบิ้ลไทร์ สีดำ ยาว 4 นิ้ว (100เส้น/แพ็ค),,,,,5,แพค,6,,30,,,,,,,,,,,,
24,สายเคเบิ้ลไทร์ สีดำ ยาว 8 นิ้ว (100เส้น/แพ็ค),,,,,5,แพค,17,,85,,,,,,,,,,,,
25,สายเคเบิ้ลไทร์ สีดำ ยาว 12 นิ้ว (100เส้น/แพ็ค),,,,,5,แพค,29,,145,,,,,,,,,,,,
26,Makita หัวบล็อกยิงสกรูหัวสว่าน H10,,,,,5,ตัว,100,,500,,,,,,,,,,,,
27,ปั๊มน้ำอัตโนมัติขนาดเล็ก 220V 260W,,,,,1,ชุด,1125,,1125,,,,,,,,,,,,
28,ปั๊มน้ำ Sobo WP-7200,,,,,1,ชุด,595,,595,,,,,,,,,,,,
29,ท่อลมPolyurethane Tube สีใส OD8xID8 mm. 100m.,,,,,1,ม้วน,990,,990,,,,,,,,,,,,
30,"ข้อลดเหลี่ยม ทองเหลือง เกลียวนอก3/4""-ใน1/2""",,,,,5,ตัว,72,,360,,,,,,,,,,,,
31,ท่อลมPolyurethane Tube สีฟ้า ID8xOD12 mm. 30m.,,,,,1,ม้วน,780,,780,,,,,,,,,,,,
32,"ข้อต่อลมเกลี่ยนอก PC สาย12มม เกลียว 1/2""",,,,,5,ตัว,33,,165,,,,,,,,,,,,
33,ข้อต่อ 3ทาง T ลดขนาด 12x8 มม.,,,,,10,ตัว,75,,750,,,,,,,,,,,,
34,ปลั๊กอุดลม รุ่นPP ขนาดสาย 8 มม,,,,,5,ตัว,25,,125,,,,,,,,,,,,
35,ปลั๊กอุดลม รุ่นPP ขนาดสาย 12 มม,,,,,5,ตัว,35,,175,,,,,,,,,,,,
36,ข้อต่อปรับลม รุ่น HVFF ขนาดสาย 8มม,,,,,5,ตัว,135,,675,,,,,,,,,,,,
